%rax,ret,System call,%rdi,%rsi,%rdx,%r10,%r8,%r9
0,int,syscall,int,,,,,
1,void,exit,int,,,,,
2,int,fork,,,,,,
3,ssize_t,read,int,void *,size_t,,,
4,ssize_t,write,int,const void *,size_t,,,
5,int,open,const char *,int,,,,
6,int,close,int,,,,,
7,int,getentropy,void *,size_t,,,,
8,int,__tfork,const struct __tfork *,size_t,,,,
9,int,link,const char *,const char *,,,,
10,int,unlink,const char *,,,,,
11,pid_t,wait4,pid_t,int *,int,struct rusage *,,
12,int,chdir,const char *,,,,,
13,int,fchdir,int,,,,,
14,int,mknod,const char *,mode_t,dev_t,,,
15,int,chmod,const char *,mode_t,,,,
16,int,chown,const char *,uid_t,gid_t,,,
17,int,break,char *,,,,,
18,int,getdtablecount,,,,,,
19,int,getrusage,int,struct rusage *,,,,
20,pid_t,getpid,,,,,,
21,int,mount,const char *,const char *,int,void *,,
22,int,unmount,const char *,int,,,,
23,int,setuid,uid_t,,,,,
24,uid_t,getuid,,,,,,
25,uid_t,geteuid,,,,,,
26,int,ptrace,int,pid_t,caddr_t,int,,
27,ssize_t,recvmsg,int,struct msghdr *,int,,,
28,ssize_t,sendmsg,int,const struct msghdr *,int,,,
29,ssize_t,recvfrom,int,void *,size_t,int,struct sockaddr *,socklen_t *
30,int,accept,int,struct sockaddr *,socklen_t *,,,
31,int,getpeername,int,struct sockaddr *,socklen_t *,,,
32,int,getsockname,int,struct sockaddr *,socklen_t *,,,
33,int,access,const char *,int,,,,
34,int,chflags,const char *,u_int,,,,
35,int,fchflags,int,u_int,,,,
36,void,sync,,,,,,
37,int,msyscall,void *,size_t,,,,
38,int,stat,const char *,struct stat *,,,,
39,pid_t,getppid,,,,,,
40,int,lstat,const char *,struct stat *,,,,
41,int,dup,int,,,,,
42,int,fstatat,int,const char *,struct stat *,int,,
43,gid_t,getegid,,,,,,
44,int,profil,caddr_t,size_t,u_long,u_int,,
45,int,ktrace,const char *,int,int,pid_t,,
46,int,sigaction,int,const struct sigaction *,struct sigaction *,,,
47,gid_t,getgid,,,,,,
48,int,sigprocmask,int,sigset_t,,,,
49,void *,mmap,void *,size_t,int,int,int,off_t
50,int,setlogin,const char *,,,,,
51,int,acct,const char *,,,,,
52,int,sigpending,,,,,,
53,int,fstat,int,struct stat *,,,,
54,int,ioctl,int,u_long,...,,,
55,int,reboot,int,,,,,
56,int,revoke,const char *,,,,,
57,int,symlink,const char *,const char *,,,,
58,ssize_t,readlink,const char *,char *,size_t,,,
59,int,execve,const char *,char *const *,char *const *,,,
60,mode_t,umask,mode_t,,,,,
61,int,chroot,const char *,,,,,
62,int,getfsstat,struct statfs *,size_t,int,,,
63,int,statfs,const char *,struct statfs *,,,,
64,int,fstatfs,int,struct statfs *,,,,
65,int,fhstatfs,const fhandle_t *,struct statfs *,,,,
66,int,vfork,,,,,,
67,int,gettimeofday,struct timeval *,struct timezone *,,,,
68,int,settimeofday,const struct timeval *,const struct timezone *,,,,
69,int,setitimer,int,const struct itimerval *,struct itimerval *,,,
70,int,getitimer,int,struct itimerval *,,,,
71,int,select,int,fd_set *,fd_set *,fd_set *,struct timeval *,
72,int,kevent,int,const struct kevent *,int,struct kevent *,int,const struct timespec *
73,int,munmap,void *,size_t,,,,
74,int,mprotect,void *,size_t,int,,,
75,int,madvise,void *,size_t,int,,,
76,int,utimes,const char *,const struct timeval *,,,,
77,int,futimes,int,const struct timeval *,,,,
78,void *,mquery,void *,size_t,int,int,int,off_t
79,int,getgroups,int,gid_t *,,,,
80,int,setgroups,int,const gid_t *,,,,
81,int,getpgrp,,,,,,
82,int,setpgid,pid_t,pid_t,,,,
83,int,futex,uint32_t *,int,int,const struct timespec *,uint32_t *,
84,int,utimensat,int,const char *,const struct timespec *,int,,
85,int,futimens,int,const struct timespec *,,,,
86,int,kbind,const struct __kbind *,size_t,int64_t,,,
87,int,clock_gettime,clockid_t,struct timespec *,,,,
88,int,clock_settime,clockid_t,const struct timespec *,,,,
89,int,clock_getres,clockid_t,struct timespec *,,,,
90,int,dup2,int,int,,,,
91,int,nanosleep,const struct timespec *,struct timespec *,,,,
92,int,fcntl,int,int,...,,,
93,int,accept4,int,struct sockaddr *,socklen_t *,int,,
94,int,__thrsleep,const volatile void *,clockid_t,const struct timespec *,void *,const int *,
95,int,fsync,int,,,,,
96,int,setpriority,int,id_t,int,,,
97,int,socket,int,int,int,,,
98,int,connect,int,const struct sockaddr *,socklen_t,,,
99,int,getdents,int,void *,size_t,,,
100,int,getpriority,int,id_t,,,,
101,int,pipe2,int *,int,,,,
102,int,dup3,int,int,int,,,
103,int,sigreturn,struct sigcontext *,,,,,
104,int,bind,int,const struct sockaddr *,socklen_t,,,
105,int,setsockopt,int,int,int,const void *,socklen_t,
106,int,listen,int,int,,,,
107,int,chflagsat,int,const char *,u_int,int,,
108,int,pledge,const char *,const char *,,,,
109,int,ppoll,struct pollfd *,u_int,const struct timespec *,const sigset_t *,,
110,int,pselect,int,fd_set *,fd_set *,fd_set *,const struct timespec *,const sigset_t *
111,int,sigsuspend,int,,,,,
112,int,sendsyslog,const char *,size_t,int,,,
114,int,unveil,const char *,const char *,,,,
115,int,__realpath,const char *,char *,,,,
116,,t32_gettimeofday,is obsolete,,,,,
117,,t32_getrusage,is obsolete,,,,,
118,int,getsockopt,int,int,int,void *,socklen_t *,
119,int,thrkill,pid_t,int,void *,,,
120,ssize_t,readv,int,const struct iovec *,int,,,
121,ssize_t,writev,int,const struct iovec *,int,,,
122,int,kill,int,int,,,,
123,int,fchown,int,uid_t,gid_t,,,
124,int,fchmod,int,mode_t,,,,
125,,orecvfrom,is obsolete,,,,,
126,int,setreuid,uid_t,uid_t,,,,
127,int,setregid,gid_t,gid_t,,,,
128,int,rename,const char *,const char *,,,,
129,,otruncate,is obsolete,,,,,
130,,oftruncate,is obsolete,,,,,
131,int,flock,int,int,,,,
132,int,mkfifo,const char *,mode_t,,,,
133,ssize_t,sendto,int,const void *,size_t,int,const struct sockaddr *,socklen_t
134,int,shutdown,int,int,,,,
135,int,socketpair,int,int,int,int *,,
136,int,mkdir,const char *,mode_t,,,,
137,int,rmdir,const char *,,,,,
138,,t32_utimes,is obsolete,,,,,
139,,4.2 sigreturn,is obsolete,,,,,
140,int,adjtime,const struct timeval *,struct timeval *,,,,
141,int,getlogin_r,char *,u_int,,,,
142,,ogethostid,is obsolete,,,,,
143,,osethostid,is obsolete,,,,,
144,,ogetrlimit,is obsolete,,,,,
145,,osetrlimit,is obsolete,,,,,
